conceptId,substanceId
7287001,89867007
7339009,410942007
7343008,427496000
7386008,81559006
7420003,15821007
7444001,113858008
7448003,409822003
7456000,256440004
7464006,4133008
7465007,64007004
7493006,41033000
7511009,410942007
7538002,410942007
7632005,78621006
7645009,79532008
7665002,77703004
7671008,2429008
7678002,243579005
7688001,410942007
7690000,372777009
7706009,60209000
7725007,125576007
7743006,111099009
7753007,106869005
7772007,767270007
7773002,5851001
7773002,55123007
7855006,27763000
7877005,40406002
7895008,410942007
7916009,419442005
7917000,5445004
7920008,255620007
7926002,125576007
7931000,409822003
7964000,36094007
7977009,46665004
7998009,288328004
8007005,767168009
8018005,64107002
8049000,22459004
8107007,80991005
8167009,17320004
8178001,82439008
8188000,24729009
8247009,767162005
8247009,88014003
8250007,113858008
8260003,50352000
8287004,3092008
8325007,386835005
8383003,56298006
8383003,106762008
8410006,74389006
8481000,387092000
8490007,51077001
8538000,76413000
8539008,75827009
8554002,27784005
8554002,27784005
8555001,72904005
8567004,43921001
8635005,311492009
8639004,17678002
8686000,387085005
8697000,4472001
8732001,373206009
8776008,50942005
8779001,30230004
8832006,113858008
8832006,113858008
8837000,412035000
8841001,3871007
8904001,311431004
8916007,417396000
8968000,88083003
8995005,386991003
9012003,54365000
9038003,51902008
9091006,68704007
9091006,68704007
9095002,28794003
9115004,312025007
9164007,19874008
9201008,68091000
9228003,53583001
9233004,430469009
9241004,68704007
9291000,373281001
9312005,27274008
9389005,19965007
9444005,72883000
9467007,17872004
9473008,39953003
9489006,10955007
9505000,5773001
9595005,106838006
9602009,34930001
9678009,19965007
9678009,19965007
9764001,82107009
9862009,23423003
9866007,77263001
9889004,67490006
9941009,72904005
9941009,72904005
9953008,311492009
9982009,387085005
10001005,409822003
10082001,5210005
10087007,53583001
10093004,783169007
10180006,767270007
10193001,57032008
10221004,70870007
10227000,19965007
10235002,75362008
10295004,49872002
10301003,112277009
10327003,387085005
10345003,72904005
10347006,41355003
10363003,3299009
10381000,87004005
10385009,387461009
10446001,2429008
10453005,409822003
10485008,56772004
10486009,387192003
10491005,19551004
10528009,113858008
10553007,30178006
10571000,30625008
10608000,256640005
10613001,88014003
10613001,88014003
10650000,373464007
10665004,50384007
10679007,78181009
10698009,19551004
10698009,19551004
10698009,19551004
10706006,113858008
10785007,66573009
10789001,243301005
10809006,407498006
10809006,407498006
10863009,57644007
10865002,85650008
10893003,113858008
10899004,29262004
10901008,17685003
10916006,373769001
10984003,372666009
11051005,59279008
11061003,418149003
11086007,79111006
11086007,441655005
11189003,66026005
11218009,52499004
11244009,3265006
11251000,125576007
11258006,55766005
11306002,59170000
11338007,72904005
11371006,45262002
11387009,418149003
11389007,21927003
11461005,65119002
11593000,14110007
11604007,74870000
11612004,409822003
11612004,409822003
11632003,18424005
11641008,105590001
11659006,105590001
11676005,113858008
11781007,68498002
11817007,40560008
11822007,49592001
11826005,79803004
11836002,409822003
11840006,116394005
11857005,409822003
11862006,410942007
11906007,68704007
11906007,68704007
11916004,84058005
11917008,84133002
11936003,88371005
11938002,36559008
11944003,33008008
11949008,410942007
11960004,90550003
11974006,410942007
11999007,113858008
12007003,51365004
12008008,6246005
12088005,303145003
12137005,113858008
12166008,65119002
12188008,407498006
12232008,72904005
12293001,80202003
12306004,21449003
12329007,45081004
12371008,125068003
12372001,20087008
12373006,68704007
12380008,373209002
12409007,105590001
12430003,409822003
12442008,47826006
12477008,286631004
12520005,14980004
12524001,76590004
12563008,125576007
12677003,113858008
12694001,285665007
12761008,41355003
12777009,372809001
12804006,372008
12815001,387480006
12825006,22134004
12864009,409822003
12876009,406759007
12879002,81301003
12898000,387213004
12926008,33270007
12962009,81951003
12975009,12562003
12979003,88999006
12985005,113858008
13054007,372832002
13089009,424470006
13095005,72904005
13101006,78621006
13151001,425933003
13151001,18127008
13151001,29135004
13187008,387341002
13225007,5210005
13225007,5210005
13234002,373266007
13243006,6246005
13265006,81665004
13272007,90530002
13310005,72904005
13338002,9482002
13339005,57453007
13379001,433008
13394002,243518008
13471002,13354004
13503000,372890007
13504006,410942007
13547006,10465009
13549009,75727001
13557007,18069005
13567002,285406004
13570003,113858008
13582007,105590001
13596001,397426001
13608004,19965007
13608004,19965007
13631004,431050001
