vtmId,dose,unit,vmpId
17308007,100,mg,324507009
17805003,564,mg,4559411000001104
18002004,3,mg,330041007
18381001,5,mg,318512002
18381001,15,mg,318513007
18548003,5,mg,323358004
18548003,5,mg,19448911000001107
18548003,10,mg,323353008
18548003,10,mg,36123411000001102
18548003,18,mg,36123511000001103
18548003,20,mg,323359007
18548003,20,mg,36124011000001108
18548003,20,mg,36124111000001109
18548003,27,mg,36124211000001103
18548003,30,mg,36124311000001106
18548003,36,mg,36124511000001100
18548003,40,mg,36124611000001101
18548003,50,mg,36124711000001105
18548003,54,mg,36124811000001102
18548003,60,mg,24510311000001109
19194001,125,mg,324814004
19194001,200,mg,324813005
19194001,250,mg,324812000
19194001,400,mg,324811007
19225000,1,mg,321294008
19225000,1,mg,37600511000001104
19225000,2.5,mg,321295009
19225000,2.5,mg,37600611000001100
19261005,100,mg,330084008
19261005,200,mg,330085009
19403009,15,mg,321117007
19403009,30,mg,321118002
19583005,50,mg,30797611000001100
20865003,250,mg,329612000
20865003,500,mg,329613005
22198003,2.5,mg,374173002
22198003,5,mg,317965001
22696000,10,mg,414426001
22696000,25,mg,318649003
22696000,50,mg,318650003
22969001,250,mg,324095003
24450004,100,mg,324466004
24450004,400,mg,324467008
24504000,500,mg,317499007
25076002,125,mg,330120004
25076002,350,mg,330121000
25142008,60,mg,326035004
25142008,120,mg,326034000
25246002,100,mg,330061001
25246002,300,mg,330062008
25673006,10,mg,317297007
25673006,10,mg,407846000
25673006,10,mg,39021411000001102
25673006,20,mg,317291008
25673006,20,mg,407847009
25673006,20,mg,39021511000001103
25673006,40,mg,317295004
25673006,40,mg,407848004
25673006,40,mg,39021611000001104
26124005,2.5,mg,325248003
26124005,5,mg,325243007
26458009,25,mg,320726008
26458009,50,mg,320730006
26462003,4,mg,320718000
26574002,1,mg,8793511000001105
26574002,500,microgram,8793611000001109
26736008,130,mg,14410311000001103
26736008,300,mg,327419007
26800000,7.5,mg,18600111000001101
26800000,15,mg,18600011000001102
27242001,2,mg,325411009
27242001,4,mg,325412002
27242001,16,mg,325413007
27242001,100,mg,325410005
27479000,100,mg,324765001
27479000,250,mg,324767009
27658006,250,mg,39732311000001104
27658006,500,mg,39732411000001106
27754002,10,mg,329862007
27754002,10,mg,39721011000001108
27754002,20,mg,329863002
27754002,20,mg,39721211000001103
28506006,500,mg,324662008
29175007,150,mg,324479008
29175007,300,mg,324480006
29439004,1.5,mg,15533211000001106
29439004,2,mg,8791811000001109
29439004,3,mg,20586111000001106
29439004,4,mg,8791911000001104
29439004,5,mg,11490011000001105
29439004,12.5,mg,318820009
29439004,25,mg,318821008
29439004,50,mg,318824000
29439004,50,mg,14796411000001104
29840005,50,mg,321893005
29840005,100,mg,321894004
29877002,10,mg,321908006
29896003,500,microgram,325345003
30010009,1,mg,7902511000001100
30010009,1,mg,21366111000001101
30010009,50,microgram,327545000
30010009,100,microgram,34199011000001109
30010009,500,microgram,39297211000001107
30125007,7.5,mg,317548002
30125007,12,mg,5000211000001106
30125007,15,mg,407828006
30125007,15,mg,5000311000001103
30306003,25,mg,33734411000001102
30306003,50,mg,329265004
30306003,100,mg,329266003
30306003,100,mg,7875611000001109
30317002,10,mg,39688111000001104
30427009,250,mg,324178009
30427009,250,mg,324180003
30427009,250,mg,36064711000001106
30427009,500,mg,324179001
30427009,500,mg,324181004
30466001,50,mg,325766009
30761007,5,mg,15424511000001100
30761007,10,mg,15425411000001103
30761007,20,mg,15426011000001103
30761007,40,mg,15426411000001107
31087008,250,mg,323570001
31087008,500,mg,323571002
31306009,200,mg,318317007
31306009,250,mg,35933811000001102
31306009,300,mg,22375311000001103
31684002,2,mg,322496005
31684002,8,mg,322497001
31684002,200,microgram,322498006
31684002,400,microgram,322492007
31690003,10,mg,326498008
31690003,25,mg,326499000
31865003,50,mg,324697005
31865003,150,mg,324698000
31865003,200,mg,324702001
32647002,2,mg,370211007
32792001,100,mg,324430000
32792001,200,mg,324431001
32823007,10,mg,321841008
32823007,25,mg,321842001
32823007,50,mg,321843006
32823007,75,mg,321844000
32955006,10,mg,39690811000001107
33124007,500,mg,325267004
33588000,10,mg,321530002
33588000,25,mg,321531003
33588000,50,mg,321532005
33588000,100,mg,321533000
33664007,250,mg,330601002
33664007,250,mg,35891911000001105
34364009,250,mg,329790001
34364009,500,mg,329803004
34393009,250,mg,325258004
